Model,Strategy,Experiment,Accuracy,F1,AUROC,Worst,Gap
CNN,FedAvg,CNN-FedAvg,0.7731961976001247,0.7632001817560161,0.863941391941392,0.6,0.4
CNN-LSTM,FedAvg,CNN-LSTM-FedAvg,0.8773663705781517,0.8307545782024053,0.9262820512820513,0.43478260869565216,0.5652173913043479
CNN-LSTM-Attn,FedAvg,CNN-LSTM-Attn-FedAvg,0.8371731338631759,0.8211813447111275,0.9165641025641025,0.2,0.8
HAFN,FedAvg,HAFN-FedAvg,0.9157238585008571,0.890997800971508,0.9630512820512821,0.5652173913043478,0.4347826086956522
MSTCN,FedAvg,MSTCN-FedAvg,0.8859903381642512,0.8386412376555038,0.9793076923076923,0.43478260869565216,0.5652173913043479
CNN,FedProx,CNN-FedProx,0.7624216923796165,0.7479592216243404,0.8555628815628816,0.5652173913043478,0.4347826086956522
CNN-LSTM,FedProx,CNN-LSTM-FedProx,0.9076328502415459,0.8824869660916174,0.9221538461538462,0.43333333333333335,0.5666666666666667
CNN-LSTM-Attn,FedProx,CNN-LSTM-Attn-FedProx,0.8503132304815334,0.8361053009812102,0.9176666666666667,0.3,0.7
HAFN,FedProx,HAFN-FedProx,0.9155306217858813,0.8815238551642288,0.9608205128205128,0.5652173913043478,0.4347826086956522
MSTCN,FedProx,MSTCN-FedProx,0.8389371980676328,0.7816706776281245,0.9416153846153847,0.43478260869565216,0.5652173913043479
CNN,CFL,CNN-CFL,0.789184977403771,0.7789712396296504,0.8630305250305251,0.5806451612903226,0.4193548387096774
CNN-LSTM,CFL,CNN-LSTM-CFL,0.8874146797568958,0.8374094885463826,0.9124615384615385,0.5217391304347826,0.4782608695652174
CNN-LSTM-Attn,CFL,CNN-LSTM-Attn-CFL,0.8365684899485742,0.8172023560069067,0.9275384615384615,0.26666666666666666,0.7333333333333334
HAFN,CFL,HAFN-CFL,0.9147826086956523,0.8810035299609768,0.9452564102564104,0.5652173913043478,0.4347826086956522
MSTCN,CFL,MSTCN-CFL,0.8235748792270531,0.7628162393010693,0.9441282051282052,0.43478260869565216,0.5652173913043479
CNN,FedNova,CNN-FedNova,0.7899610409848837,0.7779055168722083,0.8738705738705739,0.6666666666666666,0.33333333333333337
CNN-LSTM,FedNova,CNN-LSTM-FedNova,0.8969082125603864,0.8594883664640728,0.9458205128205128,0.5217391304347826,0.4782608695652174
CNN-LSTM-Attn,FedNova,CNN-LSTM-Attn-FedNova,0.8503132304815336,0.8392208501016614,0.9133333333333333,0.26666666666666666,0.7333333333333334
HAFN,FedNova,HAFN-FedNova,0.922197288452548,0.8938237945964468,0.9305128205128205,0.5652173913043478,0.4347826086956522
MSTCN,FedNova,MSTCN-FedNova,0.8077294685990338,0.7510169585529639,0.9265384615384615,0.43478260869565216,0.5652173913043479
